location,latitude,longitude,accident_count,peak_hour_start,peak_hour_end,road_type,common_cause,weather_risk,fatality_rate
Chennai OMR IT Corridor,13.0569,80.2425,45,21,2,highway,overspeeding,rain,0.42
Salem NH44 Bypass,11.6643,78.146,38,22,3,highway,drunk_driving,fog,0.38
Namakkal NH44 KM234,11.2213,78.1652,28,20,1,highway,overtaking,rain,0.31
Coimbatore Avinashi Road,11.0168,76.9558,32,19,23,urban,signal_jumping,normal,0.25
Madurai Bypass NH85,9.9252,78.1198,41,23,4,highway,fatigue,fog,0.44
Tiruchirappalli NH45,10.7905,78.7047,29,21,2,highway,overspeeding,rain,0.33
Vellore NH48,12.9165,79.1325,35,20,3,highway,overtaking,fog,0.39
Tirunelveli NH44,8.7139,77.7567,22,22,2,highway,overspeeding,rain,0.28
Erode NH544 Bypass,11.341,77.7172,33,21,3,highway,overtaking,rain,0.34
Karur NH44 Junction,10.9601,78.0766,26,20,2,highway,overspeeding,fog,0.29
Dharmapuri NH44,12.1211,78.1582,31,22,4,highway,drunk_driving,fog,0.36
Krishnagiri NH44,12.5186,78.2138,37,21,3,highway,overspeeding,fog,0.41
Ranipet NH48 Stretch,12.9321,79.3333,24,19,1,highway,overtaking,rain,0.27
Villupuram NH45,11.9401,79.4861,30,20,2,highway,drunk_driving,rain,0.32
Cuddalore ECR Coastal Road,11.748,79.7714,27,22,3,urban,overspeeding,rain,0.3
Thanjavur NH45C,10.787,79.1378,25,21,2,highway,fatigue,normal,0.26
Dindigul NH44 Flyover,10.3624,77.9695,34,23,4,highway,overspeeding,fog,0.37
Virudhunagar NH44,9.5681,77.9624,23,20,1,highway,overtaking,rain,0.25
Thoothukudi Harbour Road,8.7642,78.1348,19,18,22,urban,signal_jumping,normal,0.22
Kanyakumari NH44 End,8.0883,77.5385,18,21,2,highway,fatigue,rain,0.24
Nilgiris Coonoor Ghat,11.353,76.7959,36,6,10,rural,overspeeding,fog,0.43
Tiruppur NH544,11.1085,77.3411,29,20,2,highway,overtaking,normal,0.3
Sivagangai NH226,10.0348,78.4822,20,22,3,highway,drunk_driving,normal,0.23
Ramanathapuram NH87,9.3639,78.8395,21,23,4,highway,fatigue,normal,0.26
Pudukkottai NH226,10.3833,78.8001,22,21,2,highway,overspeeding,rain,0.25
Perambalur NH45,11.232,78.88,27,20,3,highway,overtaking,fog,0.31
